EntityName,PortfolioName,ISIN,Account Base Currency,Frequency,Valuation Period-End Date,Shareholder Equity,NAV,Outstanding Shares Par,ATWeb Assets,ATWeb Liabilities,Inventory
FF F 417 - ETPCAP2 Designated Activity Company,Magen Opportunity Portfolio (Series 417) Notes due 2040,XS2177907271,USD,Weekly,12/20/2024,"4,187,456.60",150.9,"2,775,000","4,251,440.36","63,983.77","3,225,000"
FF F 429 - ETPCAP2 Designated Activity Company,CYC Acciones Globales (Series 429) Notes due 2040,XS2223800652,USD,Weekly,12/20/2024,"10,500,391.12",135.23,"7,765,000","10,508,269.74","7,878.62","2,235,000"
FF F 436 - ETPCAP2 Designated Activity Company,Aztlan Global SMID Cap Strategy (Series 436) Notes due 2030,XS2248447273,USD,Weekly,12/20/2024,"16,169,303.83",76.88,"21,032,000","16,188,647.86","19,344.03","6,968,000"
FF F 448 - ETPCAP2 Designated Activity Company,A2 Dynamic Growth (Series 448) Notes due 2041,XS2382843253,USD,Weekly,12/20/2024,"1,833,271.23",61.11,"3,000,000","1,835,069.10","1,797.87","7,000,000"
FF F 449 - ETPCAP2 Designated Activity Company,CZ Trading & Trends (Series 449) Notes due 2041,XS2370215506,USD,Weekly,12/20/2024,"453,771.55",103.13,"440,000","455,389.09","1,617.54","4,560,000"
FF F 451 - ETPCAP2 Designated Activity Company,Noga Multi Strategy Income Portfolio (Series 451) Notes due 2041,XS2357416879,USD,Weekly,12/20/2024,"2,450,333.62",107.71,"2,275,000","2,456,107.46","5,773.84","1,725,000"
FF F 453 - ETPCAP2 Designated Activity Company,Giborim Investments Fund I (Series 453) Notes due 2031,XS2372990437,USD,Weekly,12/20/2024,"1,123,859.34",112.39,"1,000,000","1,124,035.53",176.19,"1,000,000"
FF F 455 - ETPCAP2 Designated Activity Company,Dorco Dynamic Equity (Series 455) Notes due 2032,XS2489773296,USD,Weekly,12/20/2024,"116,557.24",116.56,"100,000","117,021.87",464.63,"4,900,000"
FF F 456 - ETPCAP2 Designated Activity Company,Dorco Strategic Fixed Income (Series 456) Notes due 2032,XS2489773379,USD,Weekly,12/20/2024,"102,022.30",102.02,"100,000","102,280.68",258.38,"4,900,000"
FF F 457 - ETPCAP2 Designated Activity Company,Dorco Dynamic Strategy (Series 457) Notes due 2032,XS2489773452,USD,Weekly,12/20/2024,"97,033.37",97.03,"100,000","97,269.40",236.03,"4,900,000"
FF F 466 - ETPCAP2 Designated Activity Company,A2 Dynamic Volatility (Series 466) Notes due 2041,XS2400633363,USD,Weekly,12/20/2024,"117,426.65",28.36,"414,000","117,672.54",245.9,"4,586,000"
FF F 472 - ETPCAP2 Designated Activity Company,Beswing ETP (Series 472) Notes due 2042,XS2455359534,USD,Weekly,12/20/2024,0,100,0,0,331.39,"1,000,000"
FF F 473 - ETPCAP2 Designated Activity Company,Winvest ETP (Series 473) Notes due 2042,XS2455359377,USD,Weekly,12/20/2024,"124,960.83",99.97,"125,000","125,256.06",295.23,"4,875,000"
FF F 475 - ETPCAP2 Designated Activity Company,Equity Income ETP (Series 475) Notes due 2042,XS2448046164,USD,Weekly,12/20/2024,"137,106.96",19.18,"715,000","137,497.75",390.79,"9,285,000"
FF F 476 - ETPCAP2 Designated Activity Company,Global Macro ETP (Series 476) Notes due 2042,XS2448046081,USD,Weekly,12/20/2024,"3,097,891.00",80.78,"3,835,000","3,100,217.15","2,326.15","16,165,000"
