EntityName,PortfolioName,ISIN,Account Base Currency,Frequency,Valuation Period-End Date,Shareholder Equity,NAV,Outstanding Shares Par,ATWeb Assets,ATWeb Liabilities,Inventory,,,,,,,,,,,,,,,
FF F 315 - HFMX Designated Activity Company,TOTAL INCOME FUND (SERIES 315) NOTES DUE 2039,XS1967678357,USD,Weekly,12/20/2024,"23,113,526.45",127.26,"18,163,000","23,142,229.91","28,703.45","11,837,000",,,,,,,,,,,,,,,
FF F 323 - HFMX Designated Activity Company,CYC RENTA GLOBAL (SERIES 323) NOTES DUE 2039,XS1973722066,USD,Weekly,12/20/2024,"41,792,536.58",115.33,"36,237,000","41,809,853.82","17,317.24","2,763,000",,,,,,,,,,,,,,,
FF F 363 - HFMX Designated Activity Company,CZ GLOBAL EQUITY (SERIES 363) NOTES DUE 2039,XS2034602529,USD,Weekly,12/20/2024,"19,393,845.47",138.55,"13,998,000","19,416,351.41","22,505.93","1,002,000",,,,,,,,,,,,,,,
FF F 430 - HFMX Designated Activity Company,CYC Renta Fija Argentina (Series 430) Notes due 2040,XS2223800819,USD,Weekly,12/20/2024,"16,286,079.57",144.34,"11,283,000","16,295,528.18","9,448.61","717,000",,,,,,,,,,,,,,,
FF F 503 - HFMX Designated Activity Company,CREDIT OPPORTUNITIES BRL (SERIES 503) NOTES DUE 2033,XS2731984071,USD,Weekly,12/20/2024,"6,735,407.39",93.55,"7,200,000","6,737,462.52","2,055.13","2,800,000",,,,,,,,,,,,,,,
FF F 244 - HFMX Designated Activity Company,DORCO DIVERSIFIED DEBT (SERIES 244) NOTES DUE 2038,XS1901215266,USD,Monthly,11/30/2024,"4,455,775.39",178.23,"2,500,000","4,464,396.44","8,621.05","2,500,000",,,,,,,,,,,,,,,
FF F 274 - HFMX Designated Activity Company,CZ GLOBAL INCOME STRATEGY (SERIES 274) NOTES DUE 2029,XS1916298174,USD,Monthly,11/30/2024,"11,699,139.00",103.09,"11,348,000","11,712,324.75","13,185.75","3,652,000",,,,,,,,,,,,,,,
FF F 367 - HFMX Designated Activity Company,AZTTRO GLOBAL SMID CAP STRATEGY (SERIES 367) NOTES DUE 2029,XS2034602792,USD,Monthly,11/30/2024,"2,919,104.36",91.97,"3,174,000","2,924,488.16","5,383.80","16,826,000",,,,,,,,,,,,,,,
FF F 461 - HFMX Designated Activity Company,Migdal ETP (Series 461) Notes due 2041,XS2415308092,USD,Monthly,11/30/2024,"15,406,089.25",106.73,"14,434,000","15,413,009.73","6,920.48","566,000",,,,,,,,,,,,,,,
FF F 462 - HFMX Designated Activity Company,Massada ETP (Series 462) Notes due 2041,XS2415308258,USD,Monthly,11/30/2024,"12,877,783.82",108.13,"11,909,000","12,883,483.39","5,699.57","91,000",,,,,,,,,,,,,,,
FF F 463 - HFMX Designated Activity Company,Galil ETP (Series 463) Notes due 2041,XS2415308175,USD,Monthly,11/30/2024,"11,399,804.94",104.90,"10,867,000","11,404,957.95","5,153.01","1,133,000",,,,,,,,,,,,,,,
FF F 464 - HFMX Designated Activity Company,Carmel ETP (Series 464) Notes due 2041,XS2415308332,USD,Monthly,12/13/2024,"12,159,480.62",103.18,"11,785,000","12,162,064.60","2,583.98","215,000",,,,,,,,,,,,,,,
FF F 480 - HFMX Designated Activity Company,Stingray Global Income (Series 480) Notes due 2042,XS2463145438,USD,Monthly,11/30/2024,"4,584,968.88",97.02,"4,726,000","4,592,192.85","7,223.97","274,000",,,,,,,,,,,,,,,
FF W 256 - HFMX Designated Activity Company,EUROPEAN OPPORTUNITIES FUND (SERIES 256) NOTES DUE 2028,XS1891674662,EUR,Monthly,11/30/2024,"5,567,836.62",96.00,"5,800,000","5,572,124.31","4,287.69","9,200,000",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
