Series Number,Security Name,ISIN,Currency,NAV Type,Valuation Frequency
5,IA Capital Structures Series 2012-5,XS0785895581,USD,Structured Products,Monthly
9,IA Capital Structures Series 2013-9,XS0972245285,USD,Structured Products,Monthly
11,IA Capital Structures Series 2014-11,XS1021727364,USD,Structured Products,Monthly
17,IA Capital Structures Series 2014-17,XS1102848618,USD,Structured Products,Monthly
20,IA Capital Structures Series 2014-20,XS1121503822,USD,Structured Products,Monthly
21,IA Capital Structures Series 2014-21,XS1132653293,EUR,Structured Products,Monthly
24,IA Capital Structures Series 2014-24,XS1199017580,USD,Structured Products,Monthly
29,IA Capital Structures Series 2014-29,XS1224713658,USD,Structured Products,Monthly
32,IA Capital Structures Series 2014-32,XS1246650862,USD,Structured Products,Weekly
36,IA Capital Structures Series 2015-36,XS1278528713,USD,Structured Products,Monthly
39,IA Capital Structures Series 2015-39,XS1276707228,USD,Structured Products,Weekly
41,IA Capital Structures Series 2016-41,XS1304663542,USD,Structured Products,Monthly
44,IA Capital Structures Series 2015-44,XS1341167226,USD,Structured Products,Monthly
49,IA Capital Structures Series 2015-49,XS1332125159,USD,Structured Products,Monthly
50,IA Capital Structures Series 2015-50,XS1332125662,USD,Structured Products,Monthly
54,IA Capital Structures Series 2015-54,XS1337366113,USD,Structured Products,Monthly
55,IA Capital Structures Series 2015-55,XS1369650426,EUR,Structured Products,Monthly
57,IA Capital Structures Series 2015-57,XS1382368543,USD,Structured Products,Monthly
71,IA Capital Structures Series 2016-71,XS1432510045,USD,Structured Products,Monthly
93,IA Capital Structures Series 2016-93,XS1519032400,USD,Structured Products,Monthly
96,IA Capital Structures Series 2016-96,XS1539826518,USD,Structured Products,Monthly
107,IA Capital Structures Series 2017-107,XS1637086551,USD,Structured Products,Monthly
109,IA Capital Structures Series 2017-109,XS1650146779,USD,Structured Products,Monthly
114,IA Capital Structures Series 2017-114,XS1632784994,USD,Structured Products,Monthly
125,IA Capital Structures Series 2017-125,XS1637086395,USD,Structured Products,Monthly
127,IA Capital Structures Series 2017-127,XS1637322204,USD,Structured Products,Monthly
169,IA Capital Structures Series 2017-169,XS1740245375,USD,Structured Products,Monthly
151,IA Capital Structures Series 2018-151,XS1760842606,USD,Structured Products,Monthly
175,IA Capital Structures Series 2018-175,XS1760842861,USD,Structured Products,Monthly
189,IA Capital Structures Series 2018-189,XS1757381006,USD,Structured Products,Monthly
190,IA Capital Structures Series 2018-190,XS1766463902,USD,Structured Products,Monthly
179,IA Capital Structures Series 2018-179,XS1785120566,USD,Structured Products,Weekly
216,ETPCAP2 DAC 2018-216,XS1861612114,USD,Structured Products,Monthly
234,ETPCAP2 DAC 2018-234,XS1845117115,USD,Structured Products,Monthly
202,ETPCAP2 DAC 2018-202,XS1862377733,USD,Structured Products,Monthly
